brand,model,part_category,part_name,part_number,year_from,year_to
Kawasaki,Ninja 400,火花塞,NGK CPR8EA-9,CPR8EA-9,2018,2023
Kawasaki,Ninja 400,机油,10W-40 四冲程机油,,2018,2023
Kawasaki,Ninja 400,机油滤清器,Kawasaki 机油滤芯,16097-0008,2018,2023
Kawasaki,Ninja 400,刹车油,DOT4 刹车油,,2018,2023
Kawasaki,Ninja 400,冷却液,Kawasaki 原厂长效冷却液,,2018,2023
Kawasaki,Ninja 400,链条,DID 520 链条,520VX3,2018,2023
Kawasaki,Z400,火花塞,NGK CPR8EA-9,CPR8EA-9,2019,2023
Kawasaki,Z400,机油,10W-40 四冲程机油,,2019,2023
Kawasaki,Z400,机油滤清器,Kawasaki 机油滤芯,16097-0008,2019,2023
Kawasaki,Z400,刹车油,DOT4 刹车油,,2019,2023
Kawasaki,Z400,链条,DID 520 链条,520VX3,2019,2023
Kawasaki,Ninja 650,火花塞,NGK CPR9EA-9,CPR9EA-9,2017,2023
Kawasaki,Ninja 650,机油,10W-40 四冲程机油,,2017,2023
Kawasaki,Ninja 650,机油滤清器,Kawasaki 机油滤芯,16097-0008,2017,2023
Kawasaki,Ninja 650,刹车油,DOT4 刹车油,,2017,2023
Kawasaki,Ninja 650,链条,DID 520 链条,520VX3,2017,2023
Kawasaki,Z650,火花塞,NGK CPR9EA-9,CPR9EA-9,2017,2023
Kawasaki,Z650,机油,10W-40 四冲程机油,,2017,2023
Kawasaki,Z650,机油滤清器,Kawasaki 机油滤芯,16097-0008,2017,2023
Kawasaki,Z650,刹车油,DOT4 刹车油,,2017,2023
Kawasaki,Z650,链条,DID 520 链条,520VX3,2017,2023
Kawasaki,Versys 650,火花塞,NGK CPR9EA-9,CPR9EA-9,2015,2023
Kawasaki,Versys 650,机油,10W-40 四冲程机油,,2015,2023
Kawasaki,Versys 650,机油滤清器,Kawasaki 机油滤芯,16097-0008,2015,2023
Kawasaki,Versys 650,刹车油,DOT4 刹车油,,2015,2023
Kawasaki,Ninja ZX-6R,火花塞,NGK CR9EIA-9,CR9EIA-9,2019,2023
Kawasaki,Ninja ZX-6R,机油,10W-40 四冲程机油,,2019,2023
Kawasaki,Ninja ZX-6R,机油滤清器,Kawasaki 机油滤芯,16097-0008,2019,2023
Kawasaki,Ninja ZX-6R,刹车油,DOT4 刹车油,,2019,2023
Kawasaki,Ninja ZX-6R,链条,DID 520 链条,520ZVMX,2019,2023
Honda,CB400,火花塞,NGK CR9EH-9,CR9EH-9,2018,2022
Honda,CB400,机油,10W-30 四冲程机油,,2018,2022
Honda,CB400,机油滤清器,Honda 机油滤芯,15410-MFJ-D01,2018,2022
Honda,CB400,刹车油,DOT4 刹车油,,2018,2022
Honda,CBR500R,火花塞,NGK SILMAR8A9S,SILMAR8A9S,2016,2023
Honda,CBR500R,机油,10W-30 四冲程机油,,2016,2023
Honda,CBR500R,机油滤清器,Honda 机油滤芯,15410-MFJ-D01,2016,2023
Honda,CBR500R,刹车油,DOT4 刹车油,,2016,2023
Honda,CBR500R,链条,DID 520 链条,520VX3,2016,2023
Honda,CB500F,火花塞,NGK SILMAR8A9S,SILMAR8A9S,2016,2023
Honda,CB500F,机油,10W-30 四冲程机油,,2016,2023
Honda,CB500F,机油滤清器,Honda 机油滤芯,15410-MFJ-D01,2016,2023
Honda,CB500F,刹车油,DOT4 刹车油,,2016,2023
Honda,Rebel 500,火花塞,NGK SILMAR8A9S,SILMAR8A9S,2017,2023
Honda,Rebel 500,机油,10W-30 四冲程机油,,2017,2023
Honda,Rebel 500,机油滤清器,Honda 机油滤芯,15410-MFJ-D01,2017,2023
Honda,Rebel 500,刹车油,DOT4 刹车油,,2017,2023
Honda,CBR650R,火花塞,NGK IMR9E-9HES,IMR9E-9HES,2019,2023
Honda,CBR650R,机油,10W-30 四冲程机油,,2019,2023
Honda,CBR650R,机油滤清器,Honda 机油滤芯,15410-MFJ-D01,2019,2023
Honda,CBR650R,刹车油,DOT4 刹车油,,2019,2023
Honda,CBR650R,链条,DID 525 链条,525VX3,2019,2023
Yamaha,YZF-R3,火花塞,NGK LMAR8A-9,LMAR8A-9,2015,2023
Yamaha,YZF-R3,机油,10W-40 四冲程机油,,2015,2023
Yamaha,YZF-R3,机油滤清器,Yamaha 机油滤芯,5GH-13440-70,2015,2023
Yamaha,YZF-R3,刹车油,DOT4 刹车油,,2015,2023
Yamaha,YZF-R3,链条,DID 520 链条,520VX3,2015,2023
Yamaha,MT-03,火花塞,NGK LMAR8A-9,LMAR8A-9,2016,2023
Yamaha,MT-03,机油,10W-40 四冲程机油,,2016,2023
Yamaha,MT-03,机油滤清器,Yamaha 机油滤芯,5GH-13440-70,2016,2023
Yamaha,MT-03,刹车油,DOT4 刹车油,,2016,2023
Yamaha,MT-07,火花塞,NGK LMAR8A-9,LMAR8A-9,2014,2023
Yamaha,MT-07,机油,10W-40 四冲程机油,,2014,2023
Yamaha,MT-07,机油滤清器,Yamaha 机油滤芯,5GH-13440-70,2014,2023
Yamaha,MT-07,刹车油,DOT4 刹车油,,2014,2023
Yamaha,MT-07,链条,DID 520 链条,520VX3,2014,2023
Yamaha,MT-09,火花塞,NGK CPR9EA-9,CPR9EA-9,2014,2023
Yamaha,MT-09,机油,10W-40 四冲程机油,,2014,2023
Yamaha,MT-09,机油滤清器,Yamaha 机油滤芯,5GH-13440-70,2014,2023
Yamaha,MT-09,刹车油,DOT4 刹车油,,2014,2023
Yamaha,MT-09,链条,DID 525 链条,525VX3,2014,2023
Suzuki,SV650,火花塞,NGK CR8E,CR8E,2016,2023
Suzuki,SV650,机油,10W-40 四冲程机油,,2016,2023
Suzuki,SV650,机油滤清器,Suzuki 机油滤芯,16510-07J00,2016,2023
Suzuki,SV650,刹车油,DOT4 刹车油,,2016,2023
Suzuki,SV650,链条,DID 525 链条,525VX3,2016,2023
Suzuki,GSX250R,火花塞,NGK CR8E,CR8E,2017,2023
Suzuki,GSX250R,机油,10W-40 四冲程机油,,2017,2023
Suzuki,GSX250R,机油滤清器,Suzuki 机油滤芯,16510-07J00,2017,2023
Suzuki,GSX250R,刹车油,DOT4 刹车油,,2017,2023
Suzuki,GSX250R,链条,DID 520 链条,520VX3,2017,2023
KTM,Duke 390,火花塞,NGK LKAR8AI-9,LKAR8AI-9,2017,2023
KTM,Duke 390,机油,10W-50 四冲程机油,,2017,2023
KTM,Duke 390,机油滤清器,KTM 机油滤芯,93038005000,2017,2023
KTM,Duke 390,刹车油,DOT4 刹车油,,2017,2023
KTM,Duke 390,链条,DID 520 链条,520VX3,2017,2023
KTM,RC390,火花塞,NGK LKAR8AI-9,LKAR8AI-9,2017,2023
KTM,RC390,机油,10W-50 四冲程机油,,2017,2023
KTM,RC390,机油滤清器,KTM 机油滤芯,93038005000,2017,2023
KTM,RC390,刹车油,DOT4 刹车油,,2017,2023
KTM,RC390,链条,DID 520 链条,520VX3,2017,2023
